x_m,y_m,z_m,T_degC
0.15500000,0.20000000,0.12500000,1250.00000000
0.15500000,0.20000000,0.15000000,1250.00000000
0.15500000,0.20000000,0.17500000,1250.00000000
0.15500000,0.20000000,0.20000000,1250.00000000
0.15500000,0.20000000,0.22500000,100.00000000
0.15500000,0.20000000,0.25000000,100.00000000
0.15500000,0.20000000,0.27500000,100.00000000
0.15500000,0.20000000,0.30000000,100.00000000
0.15500000,0.22500000,0.00000000,100.00000000
0.15500000,0.22500000,0.02500000,100.00000000
0.15500000,0.22500000,0.05000000,100.00000000
0.15500000,0.22500000,0.07500000,100.00000000
0.15500000,0.22500000,0.10000000,100.00000000
0.15500000,0.22500000,0.12500000,100.00000000
0.15500000,0.22500000,0.15000000,100.00000000
0.15500000,0.22500000,0.17500000,100.00000000
0.15500000,0.22500000,0.20000000,100.00000000
0.15500000,0.22500000,0.22500000,100.00000000
0.15500000,0.22500000,0.25000000,100.00000000
0.15500000,0.22500000,0.27500000,100.00000000
0.15500000,0.22500000,0.30000000,100.00000000
0.15500000,0.25000000,0.00000000,100.00000000
0.15500000,0.25000000,0.02500000,100.00000000
0.15500000,0.25000000,0.05000000,100.00000000
0.15500000,0.25000000,0.07500000,100.00000000
0.15500000,0.25000000,0.10000000,100.00000000
0.15500000,0.25000000,0.12500000,100.00000000
0.15500000,0.25000000,0.15000000,100.00000000
0.15500000,0.25000000,0.17500000,100.00000000
0.15500000,0.25000000,0.20000000,100.00000000
0.15500000,0.25000000,0.22500000,100.00000000
0.15500000,0.25000000,0.25000000,100.00000000
0.15500000,0.25000000,0.27500000,100.00000000
0.15500000,0.25000000,0.30000000,100.00000000
0.15500000,0.27500000,0.00000000,100.00000000
0.15500000,0.27500000,0.02500000,100.00000000
0.15500000,0.27500000,0.05000000,100.00000000
0.15500000,0.27500000,0.07500000,100.00000000
0.15500000,0.27500000,0.10000000,100.00000000
0.15500000,0.27500000,0.12500000,100.00000000
0.15500000,0.27500000,0.15000000,100.00000000
0.15500000,0.27500000,0.17500000,100.00000000
0.15500000,0.27500000,0.20000000,100.00000000
0.15500000,0.27500000,0.22500000,100.00000000
0.15500000,0.27500000,0.25000000,100.00000000
0.15500000,0.27500000,0.27500000,100.00000000
0.15500000,0.27500000,0.30000000,100.00000000
0.15500000,0.30000000,0.00000000,100.00000000
0.15500000,0.30000000,0.02500000,100.00000000
0.15500000,0.30000000,0.05000000,100.00000000
0.15500000,0.30000000,0.07500000,100.00000000
0.15500000,0.30000000,0.10000000,100.00000000
0.15500000,0.30000000,0.12500000,100.00000000
0.15500000,0.30000000,0.15000000,100.00000000
0.15500000,0.30000000,0.17500000,100.00000000
0.15500000,0.30000000,0.20000000,100.00000000
0.15500000,0.30000000,0.22500000,100.00000000
0.15500000,0.30000000,0.25000000,100.00000000
0.15500000,0.30000000,0.27500000,100.00000000
0.15500000,0.30000000,0.30000000,100.00000000
